battery_id,cycle_number,cycle_type,ambient_temperature,start_time_raw,capacity,avg_voltage_measured,min_voltage_measured,max_voltage_measured,avg_current_measured,min_current_measured,max_current_measured,avg_temperature_measured,min_temperature_measured,max_temperature_measured,avg_current_load,avg_voltage_load,duration_seconds,num_points_voltage,num_points_current,num_points_temperature,num_points_time,source_file,previous_capacity,capacity_drop,capacity_drop_pct,capacity_rolling_avg,cycle_age,temp_deviation
B0005,1,charge,24.0,[[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01]],,4.187419504014827,3.479393559379272,4.2099486995035615,0.6434546691871927,-4.030268477538787,1.5143932321982565,25.32407901830568,24.167061880805868,27.445134031590747,,,7597.875,789,789,789,789,data/raw/nasa/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,,,,,0.0016233766233766235,-3.9560039817682338
B0005,2,discharge,24.0,[[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01]],1.8564874208181577,3.5298286688693397,2.612467347907089,4.191491807505295,-1.8187019641679727,-2.0180146876333027,0.0007285852728454,32.572328114029,24.325993424022467,38.98218133148803,-1.805569543147208,2.4049441624365477,3690.234,197,197,197,197,data/raw/nasa/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,,,,,0.003246753246753247,3.292245113955083
B0005,3,charge,24.0,[[2.0080e+03 4.0000e+00 2.0000e+00 1.6000e+01 3.7000e+01 5.1984e+01]],,4.058826443375249,3.001950570776504,4.213016370444398,0.949042672725116,-3.361982908688226,1.5151784093535638,26.635622628116085,24.528515200437052,29.34194895777482,,,10516.0,940,940,940,940,data/raw/nasa/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,1.8564874208181577,,,,0.00487012987012987,-2.6444603719578303
B0005,4,discharge,24.0,[[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01]],1.846327249719927,3.5373201277859714,2.587208728940726,4.189773213846608,-1.817559850661287,-2.016820542901454,0.0029274033590803,32.72523522519307,24.685948163596,39.033397966787035,-1.8045826530612243,2.399260204081633,3672.344,196,196,196,196,data/raw/nasa/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,,,,,0.006493506493506494,3.445152225119152
B0005,5,charge,24.0,[[2.0080e+03 4.0000e+00 2.0000e+00 2.0000e+01 5.5000e+01 4.0812e+01]],,4.058138828852896,3.0358785775794024,4.212788046609961,0.9505286974657304,-3.384407789097242,1.5168939445650549,26.778175507896695,24.600173786523015,29.553300732538816,,,10484.547,937,937,937,937,data/raw/nasa/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,1.846327249719927,,,,0.008116883116883116,-2.501907492177221
B0005,6,discharge,24.0,[[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00]],1.8353491942234077,3.5437367282719,2.6519168938437794,4.188186735991303,-1.8164865418840956,-2.016573862170142,0.001483676365228,32.64286193755933,24.7342661639544,38.81879668981741,-1.8035753846153844,2.39796923076923,3651.641,195,195,195,195,data/raw/nasa/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,,,,,0.00974025974025974,3.362778937485416
B0005,7,charge,24.0,[[2.0080e+03 4.0000e+00 3.0000e+00 1.0000e+00 1.2000e+01 3.8671e+01]],,4.058904789088504,3.0661450551857485,4.212924011950438,0.952311520621674,-3.4122633601213583,1.5175028479320207,26.70320405781683,24.49334629714403,29.456340289732644,,,10397.89,933,933,933,933,data/raw/nasa/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,1.8353491942234077,,,,0.011363636363636364,-2.5768789422570855
B0005,8,discharge,24.0,[[2008.       4.       3.       4.      16.      37.375]],1.8352625275821128,3.5436661072601456,2.592947964776547,4.188461118855572,-1.8255891938692528,-2.0159359571668354,0.0015470119527235,32.51487646204882,24.652243741292516,38.7623045063458,-1.8128628865979384,2.4082886597938145,3631.563,194,194,194,194,data/raw/nasa/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,,,,,0.012987012987012988,3.2347934619749026
B0005,9,charge,24.0,[[2008.       4.       3.       5.      27.      49.125]],,4.058329981003973,3.0637656606174013,4.2128738833616,0.9477284862498988,-3.403625146732859,1.5169487474809895,26.617004288392003,24.42016992589388,29.4813335075363,,,10495.203,937,937,937,937,data/raw/nasa/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,1.8352625275821128,,,,0.01461038961038961,-2.663078711681912
B0005,10,discharge,24.0,[[2008.       4.       3.       8.      33.      25.703]],1.834645508212042,3.5423432526672167,2.547419651124539,4.188298524761055,-1.8261139590277584,-2.017425579158831,0.0017014548245034,32.38234901543077,24.518700434435164,38.66539257343368,-1.8128762886597936,2.408505154639175,3629.172,194,194,194,194,data/raw/nasa/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,,,,,0.016233766233766232,3.1022660153568538
